area_type,availability,location,size,total_sqft,bath,balcony,price,bhk,price_per_sqft,price_per_squrt
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,4 Bedroom,1350.0,4,1,200.0,4,14814.81,14814.81
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,4 Bedroom,1200.0,4,1,225.0,4,18750.0,18750.0
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,4 Bedroom,1500.0,3,2,230.0,4,15333.33,15333.33
Super built-up  Area,Ready To Move,5th Block Hbr Layout,2 BHK,1206.0,2,2,56.0,2,4643.45,4643.45
Super built-up  Area,Ready To Move,5th Block Hbr Layout,3 BHK,1270.0,2,2,70.0,3,5511.81,5511.81
Super built-up  Area,Ready To Move,5th Block Hbr Layout,2 BHK,1312.0,2,3,69.0,2,5259.15,5259.15
Super built-up  Area,Ready To Move,5th Block Hbr Layout,2 BHK,1100.0,2,2,48.0,2,4363.64,4363.64
Built-up  Area,Ready To Move,5th Block Hbr Layout,5 Bedroom,3600.0,5,3,130.0,5,3611.11,3611.11
Built-up  Area,Ready To Move,5th Block Hbr Layout,6 BHK,5100.0,5,3,300.0,6,5882.35,5882.35
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,1075.0,2,2,60.0,2,5581.4,5581.4
Built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,1150.0,3,3,52.5,2,4565.22,4565.22
Built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,1256.0,2,1,62.8,2,5000.0,5000.0
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,1207.0,2,2,63.0,2,5219.55,5219.55
Built-up  Area,Ready To Move,5th Phase JP Nagar,3 BHK,1725.0,2,2,100.0,3,5797.1,5797.1
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,1440.0,2,2,60.0,2,4166.67,4166.67
Built-up  Area,Ready To Move,5th Phase JP Nagar,3 BHK,1700.0,2,3,100.0,3,5882.35,5882.35
Super built-up  Area,Ready To Move,5th Phase JP Nagar,5 BHK,2500.0,5,1,110.0,5,4400.0,4400.0
Built-up  Area,Ready To Move,5th Phase JP Nagar,1 BHK,600.0,1,1,30.0,1,5000.0,5000.0
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,1390.0,2,2,65.0,2,4676.26,4676.26
Built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,1256.0,2,1,62.8,2,5000.0,5000.0
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,1000.0,2,0,48.0,2,4800.0,4800.0
Super built-up  Area,Ready To Move,5th Phase JP Nagar,3 BHK,1350.0,2,1,75.0,3,5555.56,5555.56
Super built-up  Area,Ready To Move,5th Phase JP Nagar,1 BHK,552.0,1,1,23.5,1,4257.25,4257.25
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,1200.0,2,2,51.0,2,4250.0,4250.0
Built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,1030.0,2,2,57.0,2,5533.98,5533.98
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,1200.0,2,1,68.0,2,5666.67,5666.67
Built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,1190.0,2,2,61.8,2,5193.28,5193.28
Super built-up  Area,Ready To Move,5th Phase JP Nagar,5 BHK,4000.0,5,2,170.0,5,4250.0,4250.0
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,1080.0,2,1,53.0,2,4907.41,4907.41
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,1041.0,2,2,54.0,2,5187.32,5187.32
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,812.0,2,1,42.0,2,5172.41,5172.41
Built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,1010.0,2,2,57.0,2,5643.56,5643.56
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,1075.0,2,2,60.0,2,5581.4,5581.4
Super built-up  Area,Ready To Move,6th Phase JP Nagar,2 BHK,1192.0,2,2,74.0,2,6208.05,6208.05
Super built-up  Area,Ready To Move,6th Phase JP Nagar,2 BHK,1180.0,2,3,80.0,2,6779.66,6779.66
Super built-up  Area,Ready To Move,6th Phase JP Nagar,4 BHK,3245.0,4,1,250.0,4,7704.16,7704.16
Built-up  Area,Ready To Move,6th Phase JP Nagar,3 BHK,1645.0,3,3,100.0,3,6079.03,6079.03
Built-up  Area,Ready To Move,6th Phase JP Nagar,2 BHK,1140.0,2,2,65.0,2,5701.75,5701.75
Super built-up  Area,Ready To Move,6th Phase JP Nagar,3 BHK,2040.0,3,1,200.0,3,9803.92,9803.92
Super built-up  Area,Ready To Move,6th Phase JP Nagar,2 BHK,1213.0,2,1,63.0,2,5193.73,5193.73
Built-up  Area,Ready To Move,6th Phase JP Nagar,2 BHK,1216.0,2,2,60.0,2,4934.21,4934.21
Super built-up  Area,Ready To Move,6th Phase JP Nagar,2 BHK,1460.0,2,1,80.0,2,5479.45,5479.45
Super built-up  Area,Ready To Move,6th Phase JP Nagar,3 BHK,2003.0,3,3,200.0,3,9985.02,9985.02
Super built-up  Area,Ready To Move,6th Phase JP Nagar,3 BHK,1810.0,3,3,131.0,3,7237.57,7237.57
Super built-up  Area,Ready To Move,6th Phase JP Nagar,3 BHK,1515.0,2,2,135.0,3,8910.89,8910.89
Super built-up  Area,Ready To Move,6th Phase JP Nagar,2 BHK,1192.0,2,3,75.0,2,6291.95,6291.95
Super built-up  Area,Ready To Move,6th Phase JP Nagar,2 BHK,1280.0,2,1,88.0,2,6875.0,6875.0
Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1080.0,2,2,72.0,2,6666.67,6666.67
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1270.0,2,2,93.0,2,7322.83,7322.83
Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1420.0,2,1,100.0,3,7042.25,7042.25
Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1850.0,3,1,150.0,3,8108.11,8108.11
Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1245.0,2,1,94.0,2,7550.2,7550.2
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1175.0,2,1,82.0,2,6978.72,6978.72
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1400.0,2,1,95.0,3,6785.71,6785.71
Super built-up  Area,19-Dec,7th Phase JP Nagar,3 BHK,2225.0,3,1,160.0,3,7191.01,7191.01
Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1050.0,2,1,71.0,2,6761.9,6761.9
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1100.0,2,0,46.0,2,4181.82,4181.82
Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,918.0,2,1,50.49,2,5500.0,5500.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1450.0,2,1,100.0,3,6896.55,6896.55
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1190.0,2,1,49.98,2,4200.0,4200.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1420.0,2,2,96.0,3,6760.56,6760.56
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1680.0,3,2,120.0,3,7142.86,7142.86
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,980.0,2,2,69.0,2,7040.82,7040.82
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1180.0,2,2,72.0,2,6101.69,6101.69
Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1400.0,3,1,115.0,3,8214.29,8214.29
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1270.0,2,1,83.0,2,6535.43,6535.43
Super built-up  Area,19-Dec,7th Phase JP Nagar,4 BHK,2503.0,4,0,188.0,4,7510.99,7510.99
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,2200.0,3,2,190.0,3,8636.36,8636.36
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1575.0,2,2,110.0,3,6984.13,6984.13
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1850.0,3,2,140.0,3,7567.57,7567.57
Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1575.0,2,2,120.0,3,7619.05,7619.05
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1850.0,3,2,150.0,3,8108.11,8108.11
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1680.0,3,2,120.0,3,7142.86,7142.86
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1175.0,2,2,82.5,2,7021.28,7021.28
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1215.0,2,2,90.0,2,7407.41,7407.41
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1050.0,2,1,75.0,2,7142.86,7142.86
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1300.0,3,2,89.13,3,6856.15,6856.15
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1130.0,2,2,73.0,2,6460.18,6460.18
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1450.0,3,2,100.0,3,6896.55,6896.55
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1050.0,2,1,50.0,2,4761.9,4761.9
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1275.0,2,1,87.0,2,6823.53,6823.53
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1650.0,3,2,110.0,3,6666.67,6666.67
Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,850.0,2,2,42.0,2,4941.18,4941.18
Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1680.0,3,2,117.0,3,6964.29,6964.29
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1850.0,3,1,150.0,3,8108.11,8108.11
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1236.0,2,2,61.33,2,4961.97,4961.97
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1000.0,2,2,53.0,2,5300.0,5300.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1680.0,3,2,125.0,3,7440.48,7440.48
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1675.0,2,2,135.0,3,8059.7,8059.7
Super built-up  Area,19-Jan,7th Phase JP Nagar,2 BHK,1187.0,2,1,59.0,2,4970.51,4970.51
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1850.0,3,2,155.0,3,8378.38,8378.38
Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1000.0,2,1,61.0,2,6100.0,6100.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1460.0,2,2,100.0,3,6849.32,6849.32
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1650.0,3,3,110.0,3,6666.67,6666.67
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1200.0,2,2,62.5,2,5208.33,5208.33
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1000.0,2,1,70.65,2,7065.0,7065.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1080.0,2,2,75.0,2,6944.44,6944.44
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1680.0,3,3,125.0,3,7440.48,7440.48
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1460.0,2,1,97.0,3,6643.84,6643.84
Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1120.0,2,2,65.0,2,5803.57,5803.57
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1100.0,3,1,60.0,2,5454.55,5454.55
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1790.0,3,3,120.0,3,6703.91,6703.91
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1680.0,3,2,117.0,3,6964.29,6964.29
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1050.0,2,1,77.0,2,7333.33,7333.33
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1050.0,2,1,75.0,2,7142.86,7142.86
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1040.0,2,1,75.0,2,7211.54,7211.54
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1400.0,2,1,95.0,3,6785.71,6785.71
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1800.0,3,2,130.0,3,7222.22,7222.22
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1050.0,2,0,68.0,2,6476.19,6476.19
Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1000.0,2,2,60.0,2,6000.0,6000.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1680.0,3,2,125.0,3,7440.48,7440.48
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1050.0,2,1,77.47,2,7378.1,7378.1
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1270.0,2,1,80.0,2,6299.21,6299.21
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1680.0,3,2,122.0,3,7261.9,7261.9
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1130.0,2,2,85.0,2,7522.12,7522.12
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1680.0,3,3,130.0,3,7738.1,7738.1
Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,980.0,2,1,77.44,2,7902.04,7902.04
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1680.0,3,2,112.0,3,6666.67,6666.67
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,2095.0,3,2,150.0,3,7159.9,7159.9
Super built-up  Area,19-Dec,7th Phase JP Nagar,3 BHK,1976.0,3,1,145.0,3,7338.06,7338.06
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1600.0,2,2,110.0,3,6875.0,6875.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1765.0,3,2,118.0,3,6685.55,6685.55
Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1275.0,2,2,88.0,3,6901.96,6901.96
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1450.0,2,1,102.0,3,7034.48,7034.48
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1575.0,2,2,110.0,3,6984.13,6984.13
Super built-up  Area,Ready To Move,7th Phase JP Nagar,1 BHK,750.0,1,2,47.0,1,6266.67,6266.67
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,990.0,2,2,50.0,2,5050.51,5050.51
Plot  Area,Ready To Move,7th Phase JP Nagar,1 Bedroom,1000.0,1,1,60.0,1,6000.0,6000.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1430.0,2,1,102.0,3,7132.87,7132.87
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1128.0,2,1,60.0,2,5319.15,5319.15
Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1140.0,2,1,57.0,2,5000.0,5000.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1420.0,3,2,90.0,3,6338.03,6338.03
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1530.0,2,1,108.0,2,7058.82,7058.82
Super built-up  Area,19-Mar,8th Phase JP Nagar,2 BHK,1073.5,2,0,54.005,2,5030.74,5030.74
Super built-up  Area,18-May,8th Phase JP Nagar,1 BHK,451.0,1,0,29.9,1,6629.71,6629.71
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2 BHK,1062.0,2,1,42.47,2,3999.06,3999.06
Super built-up  Area,20-Mar,8th Phase JP Nagar,3 BHK,1455.0,3,2,73.31,3,5038.49,5038.49
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2 BHK,871.0,2,2,55.0,2,6314.58,6314.58
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2 BHK,1098.0,2,1,43.91,2,3999.09,3999.09
Super built-up  Area,Ready To Move,8th Phase JP Nagar,3 BHK,1800.0,3,1,80.0,3,4444.44,4444.44
Built-up  Area,Ready To Move,8th Phase JP Nagar,4 Bedroom,2700.0,4,2,130.0,4,4814.81,4814.81
Super built-up  Area,18-Oct,8th Phase JP Nagar,2 BHK,1080.0,2,2,38.0,2,3518.52,3518.52
Super built-up  Area,18-Jan,8th Phase JP Nagar,2 BHK,1059.0,2,2,34.5,2,3257.79,3257.79
Super built-up  Area,18-Jun,8th Phase JP Nagar,2 BHK,1080.0,2,2,35.0,2,3240.74,3240.74
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2 BHK,1062.0,2,1,42.47,2,3999.06,3999.06
Super built-up  Area,18-Jul,8th Phase JP Nagar,1 BHK,500.0,1,1,31.0,1,6200.0,6200.0
Super built-up  Area,18-Jun,8th Phase JP Nagar,2 BHK,1100.0,2,2,35.0,2,3181.82,3181.82
Super built-up  Area,Ready To Move,8th Phase JP Nagar,4 BHK,2100.0,4,3,92.0,4,4380.95,4380.95
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2 BHK,1035.0,2,1,39.33,2,3800.0,3800.0
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2 BHK,909.0,2,1,40.9,2,4499.45,4499.45
Super built-up  Area,19-Mar,8th Phase JP Nagar,3 BHK,1431.5,3,0,72.02,3,5031.09,5031.09
Built-up  Area,Ready To Move,8th Phase JP Nagar,3 Bedroom,1900.0,4,1,90.0,3,4736.84,4736.84
Super built-up  Area,18-Jul,8th Phase JP Nagar,1 BHK,500.0,1,1,30.0,1,6000.0,6000.0
Super built-up  Area,18-Jun,8th Phase JP Nagar,2 BHK,1125.0,2,2,36.94,2,3283.56,3283.56
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2 BHK,1100.0,2,3,35.0,2,3181.82,3181.82
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2 BHK,1089.0,2,1,43.55,2,3999.08,3999.08
Super built-up  Area,Ready To Move,8th Phase JP Nagar,3 BHK,1504.0,2,2,83.0,3,5518.62,5518.62
Built-up  Area,Ready To Move,8th Phase JP Nagar,4 Bedroom,2600.0,4,2,115.0,4,4423.08,4423.08
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2 BHK,1089.0,2,1,43.55,2,3999.08,3999.08
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2 BHK,1513.0,2,3,62.0,2,4097.82,4097.82
Built-up  Area,Ready To Move,8th Phase JP Nagar,2 BHK,1298.0,2,1,59.0,2,4545.45,4545.45
Built-up  Area,Ready To Move,8th Phase JP Nagar,2 BHK,1006.0,2,0,44.0,2,4373.76,4373.76
Carpet  Area,18-Jul,8th Phase JP Nagar,1 BHK,500.0,1,1,33.0,1,6600.0,6600.0
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2 BHK,1160.0,2,1,95.0,2,8189.66,8189.66
Super built-up  Area,18-Mar,8th Phase JP Nagar,2 BHK,1245.0,2,1,59.0,2,4738.96,4738.96
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2 BHK,1510.0,2,3,80.0,2,5298.01,5298.01
Super built-up  Area,Ready To Move,8th Phase JP Nagar,3 BHK,3300.0,3,2,165.0,3,5000.0,5000.0
Built-up  Area,Ready To Move,8th Phase JP Nagar,5 Bedroom,1730.0,5,2,75.0,5,4335.26,4335.26
Super built-up  Area,18-Jun,8th Phase JP Nagar,2 BHK,1046.0,2,1,48.0,2,4588.91,4588.91
Super built-up  Area,19-Mar,8th Phase JP Nagar,3 BHK,1408.0,3,2,80.0,3,5681.82,5681.82
Super built-up  Area,Ready To Move,9th Phase JP Nagar,2 BHK,1005.0,2,1,50.0,2,4975.12,4975.12
Super built-up  Area,21-Sep,9th Phase JP Nagar,2 BHK,1100.0,2,1,65.0,2,5909.09,5909.09
Super built-up  Area,18-Jun,9th Phase JP Nagar,2 BHK,1080.0,2,2,37.0,2,3425.93,3425.93
Built-up  Area,Ready To Move,9th Phase JP Nagar,2 BHK,1035.0,2,1,45.0,2,4347.83,4347.83
Built-up  Area,Ready To Move,9th Phase JP Nagar,4 BHK,5000.0,4,3,290.0,4,5800.0,5800.0
Built-up  Area,Ready To Move,9th Phase JP Nagar,2 BHK,1164.0,2,1,56.0,2,4811.0,4811.0
Super built-up  Area,Ready To Move,9th Phase JP Nagar,2 BHK,1005.0,2,1,42.0,2,4179.1,4179.1
Super built-up  Area,19-Dec,9th Phase JP Nagar,2 BHK,1127.0,2,1,50.0,2,4436.56,4436.56
Super built-up  Area,Ready To Move,9th Phase JP Nagar,2 BHK,1005.0,2,1,43.0,2,4278.61,4278.61
Built-up  Area,Ready To Move,9th Phase JP Nagar,2 BHK,835.0,2,0,37.0,2,4431.14,4431.14
Super built-up  Area,18-Jul,9th Phase JP Nagar,2 BHK,1050.0,2,2,39.0,2,3714.29,3714.29
Super built-up  Area,Ready To Move,9th Phase JP Nagar,2 BHK,660.0,2,0,27.0,2,4090.91,4090.91
Built-up  Area,Ready To Move,9th Phase JP Nagar,1 BHK,600.0,1,0,20.0,1,3333.33,3333.33
Super built-up  Area,18-Mar,9th Phase JP Nagar,2 BHK,1466.0,2,2,71.0,2,4843.11,4843.11
Built-up  Area,Ready To Move,9th Phase JP Nagar,3 BHK,1890.0,2,1,93.0,3,4920.63,4920.63
Super built-up  Area,21-Sep,9th Phase JP Nagar,2 BHK,1079.0,2,1,60.0,2,5560.7,5560.7
Super built-up  Area,21-Sep,9th Phase JP Nagar,2 BHK,1480.0,2,1,80.0,2,5405.41,5405.41
Plot  Area,Ready To Move,9th Phase JP Nagar,2 Bedroom,1200.0,2,0,80.0,2,6666.67,6666.67
Super built-up  Area,Ready To Move,9th Phase JP Nagar,2 BHK,905.0,2,1,32.0,2,3535.91,3535.91
Super built-up  Area,21-Sep,9th Phase JP Nagar,2 BHK,1073.0,2,1,52.36,2,4879.78,4879.78
Super built-up  Area,Ready To Move,9th Phase JP Nagar,3 BHK,1719.3,2,2,88.0,3,5118.36,5118.36
Super built-up  Area,18-Mar,9th Phase JP Nagar,3 BHK,1780.0,3,2,88.0,3,4943.82,4943.82
Super built-up  Area,21-Sep,9th Phase JP Nagar,3 BHK,1522.0,3,2,90.0,3,5913.27,5913.27
Built-up  Area,Ready To Move,9th Phase JP Nagar,2 BHK,890.0,2,2,45.0,2,5056.18,5056.18
Built-up  Area,Ready To Move,9th Phase JP Nagar,4 BHK,5000.0,4,1,300.0,4,6000.0,6000.0
Super built-up  Area,18-Mar,9th Phase JP Nagar,2 BHK,1050.0,2,2,35.0,2,3333.33,3333.33
Super built-up  Area,Ready To Move,9th Phase JP Nagar,2 BHK,1331.95,2,2,69.0,2,5180.37,5180.37
Super built-up  Area,Ready To Move,AECS Layout,2 BHK,1100.0,2,3,45.0,2,4090.91,4090.91
Super built-up  Area,Ready To Move,AECS Layout,2 BHK,1028.0,2,1,42.0,2,4085.6,4085.6
Super built-up  Area,Ready To Move,AECS Layout,2 BHK,1199.0,2,2,65.0,2,5421.18,5421.18
Super built-up  Area,Ready To Move,AECS Layout,2 BHK,1080.0,2,2,55.0,2,5092.59,5092.59
Super built-up  Area,Ready To Move,AECS Layout,2 BHK,1123.0,2,2,64.0,2,5699.02,5699.02
Super built-up  Area,Ready To Move,AECS Layout,2 BHK,1308.0,2,1,60.0,2,4587.16,4587.16
Super built-up  Area,Ready To Move,AECS Layout,2 BHK,1005.0,2,1,55.0,2,5472.64,5472.64
Super built-up  Area,Ready To Move,Abbigere,2 BHK,985.0,2,1,40.39,2,4100.51,4100.51
Built-up  Area,Ready To Move,Abbigere,6 Bedroom,2200.0,6,2,68.0,6,3090.91,3090.91
