,area_type,availability,location,size,total_sqft,bath,balcony,price,bhk,price_per_squrt
93,Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,2502.0,3.0,3.0,138.0,3,5515.587529976019
94,Built-up  Area,Ready To Move,Chandapura,2 BHK,650.0,1.0,1.0,17.0,2,2615.3846153846152
95,Plot  Area,Ready To Move,Kothanur,3 Bedroom,2400.0,2.0,1.0,150.0,3,6250.0
96,Super built-up  Area,Ready To Move,other,2 BHK,1007.0,2.0,2.0,43.0,2,4270.109235352532
97,Super built-up  Area,Ready To Move,other,2 BHK,1200.0,2.0,2.0,50.0,2,4166.666666666667
98,Super built-up  Area,Ready To Move,other,2 BHK,966.0,2.0,2.0,49.9,2,5165.631469979296
99,Built-up  Area,Ready To Move,Nagarbhavi,3 BHK,1630.0,2.0,1.0,98.0,3,6012.269938650306
100,Built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,1640.0,3.0,2.0,229.0,3,13963.414634146342
101,Built-up  Area,Ready To Move,other,2 BHK,782.0,2.0,2.0,55.68,2,7120.204603580562
102,Super built-up  Area,19-Apr,Devanahalli,2 BHK,1260.0,2.0,2.0,66.78,2,5300.0
103,Super built-up  Area,Ready To Move,other,3 BHK,1800.0,3.0,3.0,120.0,3,6666.666666666667
104,Super built-up  Area,Ready To Move,other,3 BHK,1413.0,2.0,2.0,75.0,3,5307.855626326964
105,Super built-up  Area,Ready To Move,Whitefield,2 BHK,1116.0,2.0,1.0,51.91,2,4651.433691756272
106,Super built-up  Area,Ready To Move,Electronic City,3 BHK,1530.0,2.0,1.0,45.9,3,3000.0
107,Built-up  Area,Ready To Move,Ramamurthy Nagar,4 Bedroom,3700.0,4.0,1.0,225.0,4,6081.081081081081
108,Built-up  Area,Ready To Move,Sarjapur  Road,3 Bedroom,2497.0,3.0,2.0,140.0,3,5606.728073688426
109,Super built-up  Area,Ready To Move,Kengeri,3 BHK,1540.0,2.0,3.0,64.0,3,4155.844155844156
110,Super built-up  Area,18-Dec,Thanisandra,3 BHK,1436.0,3.0,1.0,74.75,3,5205.431754874652
111,Super built-up  Area,18-Jun,Malleshwaram,2 BHK,1100.0,2.0,2.0,75.0,2,6818.181818181818
112,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,1427.0,3.0,2.0,120.0,3,8409.250175192712
113,Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,2061.0,3.0,1.0,200.0,3,9704.02717127608
114,Super built-up  Area,18-Mar,Hebbal,4 BHK,5611.5,4.0,0.0,477.0,4,8500.400962309543
115,Built-up  Area,Ready To Move,Shampura,4 BHK,2650.0,4.0,2.0,150.0,4,5660.377358490566
116,Super built-up  Area,22-Dec,Devanahalli,3 BHK,1282.0,2.0,2.0,68.52,3,5344.773790951638
117,Built-up  Area,Ready To Move,Kadugodi,2 BHK,1050.0,2.0,1.0,34.0,2,3238.095238095238
118,Built-up  Area,Ready To Move,LB Shastri Nagar,3 BHK,1600.0,3.0,2.0,65.0,3,4062.5
119,Super built-up  Area,22-Jan,other,2 BHK,945.0,2.0,1.0,54.0,2,5714.285714285715
120,Super built-up  Area,Ready To Move,Hormavu,2 BHK,1500.0,2.0,1.0,78.0,2,5200.0
121,Built-up  Area,Ready To Move,other,3 BHK,1870.0,3.0,3.0,110.0,3,5882.35294117647
122,Plot  Area,Ready To Move,Sarjapur,3 Bedroom,1600.0,3.0,1.0,75.0,3,4687.5
123,Super built-up  Area,Ready To Move,Electronic City,2 BHK,880.0,1.0,1.0,16.5,2,1875.0
124,Plot  Area,Ready To Move,other,4 Bedroom,1200.0,4.0,0.0,210.0,4,17500.0
125,Super built-up  Area,Ready To Move,Kudlu Gate,3 BHK,1535.0,3.0,2.0,83.0,3,5407.166123778502
126,Built-up  Area,Ready To Move,Kanakpura Road,2 BHK,950.0,2.0,1.0,57.0,2,6000.0
127,Super built-up  Area,18-Aug,Devanahalli,2 BHK,1360.0,2.0,1.0,65.0,2,4779.411764705882
128,Super built-up  Area,19-Mar,8th Phase JP Nagar,2 BHK,1073.5,2.0,0.0,54.005,2,5030.740568234746
129,Super built-up  Area,18-May,Bommasandra Industrial Area,3 BHK,1280.0,3.0,1.0,50.4,3,3937.5
130,Super built-up  Area,19-Jan,other,3 BHK,1260.0,2.0,2.0,85.05,3,6750.0
131,Built-up  Area,Ready To Move,Hennur Road,8 Bedroom,5000.0,8.0,,250.0,8,5000.0
132,Super built-up  Area,19-Dec,Yelahanka,5 BHK,3050.0,5.0,1.0,213.0,5,6983.606557377049
133,Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,1563.05,3.0,1.0,105.0,3,6717.635392341896
134,Super built-up  Area,Ready To Move,ISRO Layout,2 BHK,1000.0,2.0,1.0,60.0,2,6000.0
135,Super built-up  Area,17-Jul,Anandapura,2 BHK,1167.0,2.0,1.0,43.76,2,3749.785775492716
136,Super built-up  Area,Ready To Move,Vishveshwarya Layout,7 BHK,4000.0,7.0,2.0,225.0,7,5625.0
137,Super built-up  Area,Ready To Move,Kothanur,3 BHK,1828.0,3.0,,110.0,3,6017.505470459519
138,Super built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,890.0,2.0,1.0,35.0,2,3932.5842696629215
139,Super built-up  Area,Ready To Move,other,3 BHK,1612.0,3.0,3.0,46.74,3,2899.5037220843674
140,Super built-up  Area,19-Apr,Mysore Road,3 BHK,1710.0,4.0,2.0,91.31,3,5339.766081871345
141,Super built-up  Area,Ready To Move,Kannamangala,2 BHK,957.0,2.0,1.0,58.0,2,6060.606060606061
142,Super built-up  Area,18-May,Devarachikkanahalli,3 BHK,1250.0,2.0,3.0,44.0,3,3520.0
143,Super built-up  Area,Ready To Move,other,3 BHK,2795.0,4.0,,235.0,3,8407.871198568873
144,Super built-up  Area,Ready To Move,Hulimavu,2 BHK,1125.0,2.0,2.0,50.0,2,4444.444444444444
145,Super built-up  Area,18-Jul,Electronic City Phase II,2 BHK,1020.0,2.0,1.0,30.6,2,3000.0
146,Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,1200.0,2.0,2.0,50.0,2,4166.666666666667
147,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,1735.0,3.0,3.0,135.0,3,7780.979827089337
148,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,2050.0,3.0,1.0,145.0,3,7073.170731707317
149,Plot  Area,Ready To Move,Mahalakshmi Layout,4 Bedroom,3750.0,4.0,0.0,760.0,4,20266.666666666668
150,Built-up  Area,Ready To Move,other,3 BHK,1350.0,2.0,3.0,48.0,3,3555.555555555556
151,Super built-up  Area,18-May,Hosa Road,2 BHK,1063.0,2.0,1.0,32.0,2,3010.348071495767
152,Super built-up  Area,Ready To Move,other,3 BHK,1904.0,3.0,1.0,150.0,3,7878.151260504202
153,Built-up  Area,Ready To Move,Whitefield,4 Bedroom,4200.0,4.0,2.0,420.0,4,10000.0
154,Super built-up  Area,Ready To Move,other,3 BHK,2000.0,3.0,1.0,175.0,3,8750.0
155,Super built-up  Area,18-Dec,Sarjapur,2 BHK,1242.5,2.0,0.0,43.49,2,3500.201207243461
156,Super built-up  Area,Ready To Move,other,3 BHK,1425.0,2.0,2.0,75.0,3,5263.1578947368425
157,Super built-up  Area,Ready To Move,Electronic City,3 BHK,1500.0,2.0,1.0,64.5,3,4300.0
158,Built-up  Area,Ready To Move,Electronic City,2 BHK,1060.0,2.0,1.0,60.0,2,5660.377358490566
159,Built-up  Area,Ready To Move,other,3 BHK,1470.0,2.0,2.0,70.0,3,4761.9047619047615
160,Super built-up  Area,Ready To Move,Attibele,1 BHK,450.0,1.0,1.0,11.0,1,2444.4444444444443
161,Super built-up  Area,18-Apr,Electronic City,2 BHK,1152.0,2.0,1.0,64.5,2,5598.958333333333
162,Super built-up  Area,Ready To Move,Electronic City,3 BHK,1350.0,2.0,1.0,56.0,3,4148.148148148148
163,Super built-up  Area,Ready To Move,CV Raman Nagar,3 BHK,1550.0,3.0,3.0,65.0,3,4193.548387096775
164,Plot  Area,Ready To Move,other,3 Bedroom,1500.0,3.0,2.0,100.0,3,6666.666666666667
165,Plot  Area,Ready To Move,Nagavara,1 Bedroom,400.0,1.0,0.0,14.0,1,3500.0
166,Super built-up  Area,Ready To Move,Malleshwaram,1 BHK,705.0,1.0,2.0,67.0,1,9503.54609929078
167,Built-up  Area,Ready To Move,Electronic City,2 BHK,770.0,1.0,1.0,36.0,2,4675.324675324675
168,Super built-up  Area,Ready To Move,Hulimavu,2 BHK,1242.0,2.0,3.0,51.0,2,4106.280193236715
169,Super built-up  Area,Ready To Move,Hebbal Kempapura,3 BHK,1700.0,3.0,2.0,155.0,3,9117.64705882353
170,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,2144.0,3.0,2.0,145.0,3,6763.059701492537
171,Super built-up  Area,21-Jun,Vijayanagar,3 BHK,1704.0,3.0,2.0,110.0,3,6455.399061032864
172,Super built-up  Area,Ready To Move,Electronic City,2 BHK,1070.0,2.0,1.0,52.0,2,4859.813084112149
173,Plot  Area,Ready To Move,other,3 Bedroom,1846.0,3.0,2.0,300.0,3,16251.354279523292
174,Super built-up  Area,Ready To Move,other,2 BHK,1340.0,2.0,2.0,55.7,2,4156.716417910448
175,Built-up  Area,Ready To Move,Electronic City,2 BHK,1025.0,2.0,1.0,46.0,2,4487.804878048781
176,Super built-up  Area,Ready To Move,KR Puram,2 BHK,1277.5,2.0,0.0,56.8,2,4446.183953033268
177,Super built-up  Area,Ready To Move,Marathahalli,2 BHK,1200.0,2.0,2.0,52.0,2,4333.333333333333
178,Built-up  Area,18-Dec,Kanakpura Road,4 Bedroom,2250.0,4.0,1.0,110.0,4,4888.888888888889
179,Super built-up  Area,Ready To Move,Pattandur Agrahara,3 BHK,1550.0,2.0,3.0,80.0,3,5161.290322580645
180,Plot  Area,Ready To Move,Bellandur,4 Bedroom,1200.0,5.0,,325.0,4,27083.33333333333
181,Super built-up  Area,Ready To Move,Marathahalli,2 BHK,1200.0,2.0,2.0,60.0,2,5000.0
182,Super built-up  Area,Ready To Move,Yelahanka,2 BHK,1327.0,2.0,2.0,98.0,2,7385.079125847777
183,Super built-up  Area,Ready To Move,Kothanur,2 BHK,1186.0,2.0,2.0,58.0,2,4890.387858347386
184,Built-up  Area,Ready To Move,other,3 Bedroom,1783.0,3.0,1.0,115.0,3,6449.8037016264725
185,Super built-up  Area,Ready To Move,HSR Layout,3 BHK,1400.0,3.0,2.0,56.0,3,4000.0
186,Super built-up  Area,Ready To Move,Nagasandra,2 BHK,980.0,2.0,1.0,48.0,2,4897.959183673469
187,Super built-up  Area,Ready To Move,EPIP Zone,2 BHK,1285.0,2.0,2.0,82.0,2,6381.322957198444
188,Super built-up  Area,Ready To Move,other,3 BHK,912.0,2.0,1.0,70.0,3,7675.438596491228
189,Built-up  Area,Ready To Move,Whitefield,2 BHK,1225.0,2.0,2.0,47.6,2,3885.714285714286
190,Super built-up  Area,Ready To Move,Whitefield,2 BHK,1075.0,2.0,1.0,53.0,2,4930.232558139535
191,Built-up  Area,Ready To Move,Kadugodi,3 BHK,1260.0,2.0,2.0,54.0,3,4285.714285714285
192,Super built-up  Area,Ready To Move,Yelahanka,3 BHK,1282.0,2.0,2.0,48.7,3,3798.751950078003
193,Super built-up  Area,Ready To Move,Kogilu,3 BHK,1909.0,3.0,2.0,88.0,3,4609.743321110529
194,Super built-up  Area,Ready To Move,Panathur,2 BHK,1359.0,2.0,1.0,87.0,2,6401.766004415011
195,Built-up  Area,Ready To Move,other,2 BHK,1207.0,2.0,2.0,43.5,2,3603.976801988401
196,Plot  Area,Ready To Move,Padmanabhanagar,4 Bedroom,1736.0,6.0,0.0,190.0,4,10944.700460829494
197,Super built-up  Area,20-May,1st Block Jayanagar,4 BHK,2850.0,4.0,1.0,428.0,4,15017.543859649122
198,Super built-up  Area,Ready To Move,Kammasandra,3 BHK,1595.0,3.0,2.0,65.0,3,4075.235109717869
199,Built-up  Area,18-Jun,other,3 BHK,1798.0,3.0,2.0,89.0,3,4949.944382647386
200,Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,1475.0,3.0,2.0,78.29,3,5307.796610169492
201,Super built-up  Area,Ready To Move,other,3 BHK,1580.0,3.0,3.0,100.0,3,6329.113924050633
202,Super built-up  Area,Ready To Move,Dasarahalli,2 BHK,1295.0,2.0,1.0,65.0,2,5019.305019305019
203,Built-up  Area,Ready To Move,Magadi Road,6 Bedroom,3600.0,6.0,0.0,141.0,6,3916.6666666666665
204,Super built-up  Area,Ready To Move,Electronic City,1 BHK,589.0,1.0,1.0,27.0,1,4584.040747028863
205,Super built-up  Area,Ready To Move,other,3 BHK,1415.0,3.0,3.0,78.0,3,5512.367491166077
206,Super built-up  Area,18-Dec,Sarjapur  Road,3 BHK,1787.0,3.0,2.0,98.29,3,5500.279798545048
207,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1787.0,3.0,2.0,125.0,3,6994.963626189144
208,Super built-up  Area,Ready To Move,Koramangala,3 BHK,1475.0,2.0,3.0,90.0,3,6101.6949152542375
209,Built-up  Area,Ready To Move,other,4 BHK,2000.0,4.0,1.0,75.5,4,3775.0
210,Super built-up  Area,19-Mar,Sarjapur  Road,2 BHK,984.0,2.0,1.0,44.28,2,4500.0
211,Super built-up  Area,19-Dec,Devanahalli,3 BHK,1630.0,2.708601981443623,,74.82,3,4590.184049079754
212,Super built-up  Area,Ready To Move,other,3 BHK,2405.0,4.0,2.0,260.0,3,10810.81081081081
213,Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1080.0,2.0,2.0,72.0,2,6666.666666666667
214,Plot  Area,Ready To Move,other,2 Bedroom,1500.0,2.0,1.0,115.0,2,7666.666666666667
215,Super built-up  Area,Ready To Move,Hebbal,3 BHK,1900.0,3.0,2.0,119.0,3,6263.1578947368425
216,Super built-up  Area,19-Aug,Dommasandra,2 BHK,805.0,2.0,1.0,22.14,2,2750.3105590062114
217,Super built-up  Area,Ready To Move,Budigere,2 BHK,1153.0,2.0,2.0,56.4,2,4891.587163920208
218,Super built-up  Area,Ready To Move,other,2 BHK,1148.0,2.0,2.0,60.0,2,5226.480836236934
219,Super built-up  Area,Ready To Move,other,2 BHK,1110.0,2.0,2.0,55.0,2,4954.954954954955
220,Built-up  Area,Ready To Move,Electronic City,2 BHK,1100.0,2.0,2.0,42.0,2,3818.181818181818
221,Super built-up  Area,Ready To Move,Kalyan nagar,2 BHK,1290.0,2.0,2.0,110.0,2,8527.131782945737
222,Super built-up  Area,Ready To Move,other,3 BHK,1500.0,2.0,1.0,65.0,3,4333.333333333333
223,Super built-up  Area,18-Apr,other,2 BHK,1080.0,2.0,2.0,39.0,2,3611.1111111111113
224,Super built-up  Area,21-Jun,Vijayanagar,3 BHK,1933.0,3.0,1.0,129.0,3,6673.564407656492
225,Built-up  Area,Ready To Move,Ramamurthy Nagar,5 Bedroom,3500.0,5.0,2.0,150.0,5,4285.714285714285
226,Built-up  Area,Ready To Move,other,2 BHK,1060.0,2.0,2.0,60.0,2,5660.377358490566
227,Super built-up  Area,18-Aug,Chandapura,1 BHK,645.0,1.0,1.0,16.45,1,2550.3875968992247
228,Plot  Area,Ready To Move,other,8 Bedroom,2600.0,8.0,2.0,180.0,8,6923.076923076923
229,Super built-up  Area,18-Sep,Chandapura,1 BHK,645.0,1.0,1.0,16.45,1,2550.3875968992247
230,Super built-up  Area,Ready To Move,other,3 BHK,1644.0,3.0,3.0,84.0,3,5109.489051094891
231,Super built-up  Area,Ready To Move,other,2 BHK,1285.0,2.0,3.0,72.5,2,5642.023346303502
232,Plot  Area,Ready To Move,Electronic City,3 Bedroom,1200.0,3.0,1.0,90.0,3,7500.0
233,Super built-up  Area,Ready To Move,Electronic City,2 BHK,910.0,2.0,1.0,40.0,2,4395.604395604396
234,Super built-up  Area,Ready To Move,Kothanur,3 BHK,1577.0,3.0,1.0,70.0,3,4438.807863031072
235,Plot  Area,17-May,other,3 Bedroom,4050.0,3.0,2.0,280.0,3,6913.580246913581
236,Super built-up  Area,Ready To Move,OMBR Layout,3 BHK,2420.0,3.0,2.0,185.0,3,7644.628099173554
237,Super built-up  Area,Ready To Move,Chandapura,2 BHK,800.0,1.0,1.0,20.0,2,2500.0
238,Built-up  Area,Ready To Move,other,2 BHK,1060.0,2.0,2.0,55.0,2,5188.679245283019
239,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1270.0,2.0,2.0,93.0,2,7322.834645669292
240,Super built-up  Area,18-Jun,other,2 BHK,900.0,2.0,2.0,22.5,2,2500.0
241,Built-up  Area,Ready To Move,other,2 Bedroom,1280.0,2.0,1.0,69.0,2,5390.625
242,Plot  Area,Ready To Move,Horamavu Agara,4 Bedroom,1200.0,2.0,0.0,95.0,4,7916.666666666667
243,Built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,1025.0,2.0,2.0,36.0,2,3512.19512195122
244,Super built-up  Area,17-Jun,Electronic City,2 BHK,1108.0,2.0,1.0,63.0,2,5685.9205776173285
245,Super built-up  Area,Ready To Move,other,3 BHK,3045.0,3.0,2.0,170.0,3,5582.922824302134
